"Datum","Laatste","Open","Hoog","Laag","Vol.","+/- %"
"21.03.2022","4.461,18","4.462,40","4.481,75","4.424,30","-","-0,04%"
"18.03.2022","4.463,09","4.407,34","4.465,40","4.390,57","-","1,17%"
"17.03.2022","4.411,67","4.345,11","4.412,67","4.335,65","-","1,23%"
"16.03.2022","4.357,95","4.288,14","4.358,90","4.251,99","-","2,24%"
"15.03.2022","4.262,45","4.188,82","4.271,05","4.187,90","-","2,14%"
"14.03.2022","4.173,11","4.202,75","4.247,57","4.161,72","-","-0,74%"
"11.03.2022","4.204,31","4.279,50","4.291,01","4.200,49","-","-1,30%"
"10.03.2022","4.259,52","4.252,55","4.268,28","4.209,80","-","-0,43%"
"09.03.2022","4.277,88","4.223,10","4.299,40","4.223,10","-","2,57%"
"08.03.2022","4.170,62","4.202,66","4.276,94","4.157,87","-","-0,73%"
"07.03.2022","4.201,09","4.327,01","4.327,01","4.199,85","-","-2,95%"
"04.03.2022","4.328,87","4.342,12","4.342,12","4.284,98","-","-0,79%"
"03.03.2022","4.363,49","4.401,31","4.416,78","4.350,37","-","-0,53%"
"02.03.2022","4.386,54","4.322,56","4.401,48","4.322,56","-","1,86%"
"01.03.2022","4.306,26","4.363,14","4.378,45","4.279,54","-","-1,54%"
"28.02.2022","4.373,79","4.354,17","4.388,84","4.315,12","-","-0,25%"
"25.02.2022","4.384,62","4.298,38","4.385,34","4.286,83","-","2,24%"
"24.02.2022","4.288,70","4.155,77","4.294,73","4.114,65","-","1,50%"
"23.02.2022","4.225,50","4.324,93","4.341,51","4.221,51","-","-1,84%"
"22.02.2022","4.304,74","4.332,74","4.362,12","4.267,11","-","-1,01%"
